ID;Название компании;Комплекс;Рабочий телефон;Рабочий e-mail;Сайт;region;city;Улица;Округ;Район;Ответственный;Комментарий;Кем создана;Дата создания;Дата изменения
1848;Детский сад № 1614 Радуга Гимназия № 1562;Гимназия № 1562;;;;78;510;ул. Краснодонская, д.44;3;52;Илья Грачев;Креативик не хотят, не представились, нас помнят, есть др фотограф;Анна Гладкая;06.10.2016 18:21;27.10.2020 12:38
846;"Детский сад № 1615 СП ""ДО"" Школа № 1133";Школа № 1133;;;;78;510;Крылатские Холмы ул., 17;11;42;Анна Гладкая;;Вадим Щенков;24.08.2016 20:56;11.11.2019 12:40
2296;Детский сад № 1615-1 До 1 Школа № 1133;Школа № 1133;;;;78;510;Крылатские Холмы ул., д 11;11;42;Анна Гладкая;договор от школы с фотостудией.;Лейсан Ишмухаметова;30.03.2017 15:21;30.06.2020 17:13
2152;Детский сад № 1616 к.2 Подразделение 05/4 Школа № 1532;Школа № 1532;;;https://sch1532uz.mskobr.ru/info_edu/structure_and_controls;78;510;Профсоюзная д.156 корпус 2;2;104;Анна Гладкая;;Лейсан Ишмухаметова;30.11.2016 10:12;10.02.2020 11:16
4770;Детский сад № 1617 До № 1 Школа № 2072;Школа № 2072;;;;78;510;Утренняя, 1;12;68;Анна Гладкая;;Алиса Прокофьева;22.06.2018 14:42;10.07.2020 12:00
2206;"Детский сад № 1618 До 1 ""Светлана"" Школа № 1434";Школа № 1434;;;;78;510;Мичуринский проспект, дом 33, корпус 1;11;83;Надежда Чихунова;Ольга Викторовна, ждет звонка в августе 2019 для планирования съемки в сентябре!!;Лейсан Ишмухаметова;24.01.2017 11:01;02.09.2020 17:56
1782;Детский сад № 1618 ДО № 1 Школа № 1310;Школа № 1310;+7(495)309-36-64;;;78;510;Перовская улица, дом 52А;12;68;Илья Грачев;Новый человек - Ольга Анатольена (отсутствует на Мособре 30.03.19);Анна Гладкая;30.09.2016 16:48;27.10.2020 7:23
1727;Детский сад № 1619 ДО № 4 Школа № 902;Школа № 902;;;;78;510;Бирюлевская д.7 к.3;1;12;Марианна Вишнякова;26.03 на этот сезон уже все;Рамиль Хусяинов;27.09.2016 16:49;15.09.2020 7:47
2620;Детский сад № 1621 Здание 8 Школа № 937;Школа № 937;;;;78;510;Маршала Захарова 15;1;72;Надежда Чихунова;кл Ирина Викторовна;Анна Гладкая;31.08.2017 17:30;28.10.2019 21:21
2766;Детский сад № 1622 Корпус №3 Школа № 1519;Школа № 1519;;;https://gym1519.mskobr.ru/info_edu/structure_and_controls/;78;510;Строгинский бульвар, дом 7, корпус 4;6;100;Илья Грачев;;Маргарита Палина;25.10.2017 9:34;27.10.2020 12:55
